name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
Papa's Red Diner,Lebanese,expensive,Bayside,15:00 - 23:30,2.9,FALSE
 Gourmet Bear Garden,Sushi,expensive,Bay Ridge,08:00 - 18:00,3.9,TRUE
 Cozy Whale Cafe,Japanese,cheap,Manhattan Beach,08:00 - 18:00,3.7,FALSE
 Cozy Purple Restaurant,Hungarian,medium,Canarsie,15:00 - 23:30,4.3,FALSE
 Golden White Inn,Swedish,expensive,Coney Island,08:00 - 18:00,4.7,FALSE
 Mama's Fox Tavern,Vietnamese,cheap,East New York,00:00 - 23:59,4.1,TRUE
 Silver Lion Garden,Russian,cheap,Lower East Side,00:00 - 23:59,4.5,TRUE
 Papa's Dolphin Place,Argentinian,medium,Kensington,15:00 - 23:30,3.5,TRUE
 Electric Blue Cantina,Belgian,medium,Brownsville,08:00 - 18:00,3.1,TRUE
 Gourmet Eagle Kitchen,Swedish,expensive,East Harlem,08:00 - 18:00,2.6,FALSE
 Happy Tiger Pub,Belgian,medium,Financial District,15:00 - 23:30,4.5,FALSE
 Royal Shark Steakhouse,Irish,medium,Borough Park,08:00 - 18:00,4.5,TRUE
 Mama's Whale Steakhouse,Ethiopian,expensive,Lower East Side,15:00 - 23:30,4.6,FALSE
 Happy Dolphin Tavern,Belgian,cheap,Brighton Beach,15:00 - 23:30,4,TRUE
 Silver Black Restaurant,Korean BBQ,cheap,Lower East Side,00:00 - 23:59,3.3,FALSE
 Urban Blue Brasserie,Thai,expensive,Kensington,00:00 - 23:59,3.1,FALSE
 Mama's White Lounge,Belgian,medium,Crown Heights,00:00 - 23:59,4.6,FALSE
 Emerald Lion Place,Indonesian,cheap,Remsen Village,11:30 - 21:30,1.8,TRUE
 Cozy Green Tavern,Irish,medium,Greenwich Village,08:00 - 18:00,2,FALSE
 Star Eagle Lounge,Mediterranean,cheap,Belle Harbor,00:00 - 23:59,2,FALSE
 Mystic Tiger Pub,Dutch,medium,Ozone Park,15:00 - 23:30,4,FALSE
 Gourmet Orange Bistro,Ethiopian,medium,Sheepshead Bay,08:00 - 18:00,1.7,TRUE
 Papa's Eagle Bistro,Sushi,cheap,Park Slope,00:00 - 23:59,3.9,FALSE
 Emerald Orange Lounge,Filipino,cheap,Manhattan Beach,11:30 - 21:30,5,FALSE
 Silver Purple Restaurant,Greek,medium,Nolita,15:00 - 23:30,2.9,TRUE
 Papa's Tiger Place,Italian,expensive,Long Island City,00:00 - 23:59,1.5,FALSE
 Star Eagle Restaurant,Chinese,expensive,Sea Gate,08:00 - 18:00,2.5,FALSE
 Happy Tiger Bar,Mexican,cheap,Morningside Heights,11:30 - 21:30,4,TRUE
 Cozy Green Lounge,Egyptian,expensive,Coney Island,11:30 - 21:30,1.7,FALSE
 Urban Shark Pub,Swiss,expensive,Ditmas Park,11:30 - 21:30,3.4,TRUE
 Fiery Wolf Steakhouse,Peruvian,cheap,Upper East Side,15:00 - 23:30,2.9,TRUE
 Mama's Red Steakhouse,Norwegian,cheap,Sheepshead Bay,15:00 - 23:30,3.7,TRUE
 Gourmet Purple Bar,Irish,expensive,Long Island City,00:00 - 23:59,2.9,FALSE
 Moonlight Dolphin Pub,South African,expensive,East Harlem,00:00 - 23:59,2.1,TRUE
 Icy Bear Pizzeria,Jamaican,expensive,Coney Island,08:00 - 18:00,3.4,TRUE
 Urban Fox Cantina,Mediterranean,expensive,Bed-Stuy,11:30 - 21:30,3.9,TRUE
 Chill White Pizzeria,Finnish,medium,Howard Beach,11:30 - 21:30,2.8,TRUE
 Moonlight Purple Diner,Swedish,cheap,Murray Hill,00:00 - 23:59,2,FALSE
 Sunny Whale House,Mexican,medium,Astoria,15:00 - 23:30,4.3,FALSE
 Electric Hawk Place,Hawaiian,medium,Astoria Heights,15:00 - 23:30,4.3,TRUE
 Moonlight Red Garden,Danish,medium,Mill Basin,15:00 - 23:30,2.1,TRUE
 Moonlight Blue Tavern,Mediterranean,cheap,Bayside,00:00 - 23:59,4,FALSE
 Modern Purple Steakhouse,Scottish,cheap,Astoria,00:00 - 23:59,3.1,FALSE
 Classic Tiger Brasserie,Mediterranean,medium,Inwood,11:30 - 21:30,2.9,TRUE
 Star Red Grill,Cuban,expensive,Nolita,00:00 - 23:59,1.6,FALSE
 Gourmet Fox Steakhouse,Danish,expensive,Inwood,11:30 - 21:30,5,FALSE
 Mystic Hawk Diner,Tibetan,expensive,East Flatbush,00:00 - 23:59,3.1,FALSE
 Happy Purple Restaurant,Malaysian,medium,Financial District,15:00 - 23:30,1.3,FALSE
 Silver Yellow House,Mexican,expensive,Bergen Beach,15:00 - 23:30,4.7,FALSE
 Sunny Purple Diner,Austrian,cheap,Sunnyside,08:00 - 18:00,1.4,TRUE
 Electric Wolf Grill,South African,cheap,Gramercy Park,08:00 - 18:00,1.5,FALSE
 Modern Hawk Place,Czech,medium,Crown Heights,08:00 - 18:00,3.9,TRUE
 Icy Yellow Garden,Mexican,expensive,Tribeca,08:00 - 18:00,3,FALSE
 Fiery Shark Trattoria,Egyptian,expensive,Brighton Beach,11:30 - 21:30,2.7,FALSE
 Cozy Yellow House,Spanish,cheap,Rockaway Beach,00:00 - 23:59,4.1,FALSE
 Moonlight Yellow Pub,Mediterranean,cheap,Bayside,15:00 - 23:30,1.3,FALSE
 Emerald Eagle House,American,medium,Ditmas Park,08:00 - 18:00,5,FALSE
 Star Dolphin Pizzeria,Peruvian,cheap,Coney Island,11:30 - 21:30,2.7,TRUE
 Mystic Eagle Grill,Canadian,expensive,Inwood,08:00 - 18:00,4.8,TRUE
 Sapphire Blue Garden,Portuguese,cheap,Bay Ridge,15:00 - 23:30,3.4,TRUE
 Mama's Red Garden,Indonesian,cheap,Morningside Heights,00:00 - 23:59,3.3,TRUE
 Vintage Hawk Garden,Japanese,cheap,Nolita,00:00 - 23:59,4.3,FALSE
 Chill Dolphin Pizzeria,Korean,cheap,Crown Heights,15:00 - 23:30,2.2,FALSE
 Golden Red Pizzeria,Indian,medium,DUMBO,15:00 - 23:30,3.6,TRUE
 Fiery Red House,Vietnamese,medium,Wingate,08:00 - 18:00,3.8,TRUE
 Sunny White Bar,Swiss,medium,Howard Beach,08:00 - 18:00,3.3,TRUE
 Sapphire Shark Brasserie,Chinese,medium,Sheepshead Bay,15:00 - 23:30,2.4,FALSE
 Mystic Orange Lounge,Greek,medium,Morningside Heights,11:30 - 21:30,2.6,TRUE
 Cozy Eagle Place,Indian,expensive,Morningside Heights,08:00 - 18:00,2.5,TRUE
 Mama's Dolphin Inn,Danish,expensive,Canarsie,11:30 - 21:30,1.2,TRUE
 Mama's Green Pizzeria,Moroccan,medium,Wingate,15:00 - 23:30,2,TRUE
 Moonlight Eagle Lounge,Brazilian,expensive,Harlem,11:30 - 21:30,4,FALSE
 Emerald Blue Pub,Vietnamese,cheap,Upper East Side,08:00 - 18:00,2.6,FALSE
 Electric Eagle Inn,Moroccan,medium,Morningside Heights,15:00 - 23:30,1.3,FALSE
 Cozy Blue Eatery,Indian,medium,Lower East Side,00:00 - 23:59,4.3,TRUE
 Star Wolf Garden,Cuban,medium,Inwood,08:00 - 18:00,3.2,FALSE
 Mystic Black Pub,Hawaiian,cheap,Battery Park City,00:00 - 23:59,3.1,FALSE
 Sunny Red Cafe,Argentinian,cheap,Ridgewood,08:00 - 18:00,4.7,FALSE
 Star Red Cafe,Finnish,medium,Brighton Beach,15:00 - 23:30,3.7,TRUE
 Emerald Purple Cantina,Chinese,expensive,East Harlem,00:00 - 23:59,3.9,TRUE
 Ruby Purple Garden,Cuban,medium,Brighton Beach,00:00 - 23:59,2.8,FALSE
 Sunny Eagle Pizzeria,Moroccan,cheap,Gravesend,00:00 - 23:59,1.1,TRUE
 Ruby Tiger Place,Austrian,cheap,Sea Gate,00:00 - 23:59,3.3,TRUE
 Modern Bear Steakhouse,Irish,medium,Chinatown,08:00 - 18:00,3.1,FALSE
 Mystic Whale Inn,Japanese,expensive,Bushwick,15:00 - 23:30,3,TRUE
 Modern Dolphin Grill,Brazilian,cheap,Rego Park,00:00 - 23:59,1.1,TRUE
 Mama's Fox Place,Scottish,expensive,Sheepshead Bay,15:00 - 23:30,2.3,FALSE
 Classic Bear Diner,Finnish,cheap,Forest Hills,00:00 - 23:59,3.9,FALSE
 Cozy Whale Pub,Egyptian,cheap,Elmhurst,11:30 - 21:30,4.9,TRUE
 Mama's Purple Bar,Vietnamese,expensive,Flatbush,00:00 - 23:59,3.1,TRUE
 Star Black Pub,Austrian,expensive,Breezy Point,15:00 - 23:30,1.7,FALSE
 Silver Shark Trattoria,Dutch,medium,Ozone Park,15:00 - 23:30,3,TRUE
 Magic Bear Inn,Swedish,cheap,Ridgewood,00:00 - 23:59,3,FALSE
 Moonlight White Diner,Australian,medium,Greenpoint,08:00 - 18:00,3.8,FALSE
 Sunny Shark Brasserie,Cuban,expensive,Flatbush,08:00 - 18:00,1.5,TRUE
 Moonlight White Kitchen,Korean,cheap,Howard Beach,15:00 - 23:30,1.2,TRUE
 Fiery Shark Kitchen,Mexican,medium,Greenpoint,11:30 - 21:30,3.3,FALSE
 Rustic Purple Trattoria,French,medium,Flatbush,15:00 - 23:30,3.7,TRUE
 Emerald Hawk Grill,Brazilian,medium,Brighton Beach,00:00 - 23:59,3.4,FALSE
 Ruby Lion House,Chinese,cheap,Howard Beach,08:00 - 18:00,2.7,TRUE
 Royal Blue Tavern,Chinese,expensive,Harlem,15:00 - 23:30,4.6,TRUE
 Golden Tiger Grill,Hungarian,cheap,Canarsie,15:00 - 23:30,1.4,FALSE
 Fiery Black Restaurant,South African,cheap,Mill Basin,00:00 - 23:59,4.1,TRUE
 Emerald White Steakhouse,Finnish,cheap,Bayside,15:00 - 23:30,3.3,TRUE
 Electric Green Brasserie,Peruvian,cheap,Kips Bay,15:00 - 23:30,2.8,FALSE
 Mama's Purple Pizzeria,Ethiopian,medium,Breezy Point,11:30 - 21:30,2.4,TRUE
 Chill Yellow Grill,Mexican,expensive,Belle Harbor,15:00 - 23:30,2.9,FALSE
 Classic Yellow Pizzeria,Australian,cheap,Crown Heights,08:00 - 18:00,1.1,FALSE
 Classic Blue Bar,Canadian,medium,Park Slope,08:00 - 18:00,3.6,FALSE
 Cozy Purple Trattoria,Swiss,cheap,Long Island City,00:00 - 23:59,5,FALSE
 Royal Shark House,Swiss,expensive,East Flatbush,15:00 - 23:30,4.9,TRUE
 Mystic Whale Pizzeria,Israeli,expensive,Nolita,15:00 - 23:30,4.3,FALSE
 Icy Bear Tavern,Italian,medium,NoHo,00:00 - 23:59,1.9,FALSE
 Mama's Green Steakhouse,Sushi,medium,Murray Hill,15:00 - 23:30,2,TRUE
 Emerald Wolf Grill,Belgian,cheap,Canarsie,08:00 - 18:00,4.6,FALSE
 Silver Dolphin Place,Korean,expensive,Crown Heights,08:00 - 18:00,1.5,TRUE
 Mama's Red Inn,Vietnamese,medium,Rego Park,11:30 - 21:30,4,TRUE
 Urban Lion Cafe,French,cheap,Jackson Heights,11:30 - 21:30,3.8,FALSE
 Gourmet Blue Tavern,Russian,medium,Flatbush,15:00 - 23:30,1.3,TRUE
 Modern Tiger Bar,Korean BBQ,expensive,Brighton Beach,15:00 - 23:30,2.6,FALSE
 Cozy Hawk Cafe,Dutch,expensive,Jackson Heights,15:00 - 23:30,3,TRUE
 Papa's Blue Trattoria,American,expensive,Kips Bay,15:00 - 23:30,2.2,TRUE
 Rustic Bear Kitchen,Belgian,expensive,Prospect Lefferts Gardens,11:30 - 21:30,4.7,FALSE
 Ruby Eagle Garden,Spanish,cheap,Jackson Heights,08:00 - 18:00,1.7,FALSE
 Fiery Eagle Brasserie,Irish,cheap,Forest Hills,08:00 - 18:00,3,FALSE
 Emerald Hawk Trattoria,Israeli,cheap,Manhattan Beach,00:00 - 23:59,2.6,TRUE
 Mystic Shark Tavern,Polish,medium,Little Italy,08:00 - 18:00,3.5,FALSE
 Ruby Lion Pizzeria,Scottish,cheap,Fort Greene,15:00 - 23:30,4,TRUE
 Electric Shark Restaurant,Indian,cheap,Forest Hills,08:00 - 18:00,3.6,TRUE
 Happy Fox Inn,Irish,expensive,Wingate,00:00 - 23:59,2,FALSE
 Golden Red Cafe,Hawaiian,medium,Woodside,00:00 - 23:59,2.1,FALSE
 Classic Orange Cafe,Jamaican,expensive,Nolita,11:30 - 21:30,4.2,TRUE
 Silver Dolphin House,Lebanese,cheap,Murray Hill,00:00 - 23:59,3.6,TRUE
 Modern Fox Pizzeria,Mediterranean,medium,Rockaway Beach,15:00 - 23:30,3.3,TRUE
 Star Eagle Bistro,Irish,expensive,Brighton Beach,11:30 - 21:30,3.4,TRUE
 Fiery Black Lounge,Sushi,expensive,Brownsville,15:00 - 23:30,1.9,TRUE
 Modern Dolphin Lounge,Dutch,cheap,Greenwich Village,08:00 - 18:00,2.1,TRUE
 Golden Hawk House,Mediterranean,expensive,East Harlem,00:00 - 23:59,1,FALSE
 Golden Black Steakhouse,Turkish,medium,Marine Park,00:00 - 23:59,2.9,TRUE
 Electric Eagle House,Filipino,cheap,Financial District,00:00 - 23:59,1.1,FALSE
 Modern Dolphin Cafe,Hungarian,medium,East New York,15:00 - 23:30,2.6,TRUE
 Mystic Bear Bar,Mexican,cheap,Crown Heights,00:00 - 23:59,2.3,TRUE
 Vintage Purple Diner,Finnish,medium,Sheepshead Bay,15:00 - 23:30,1.6,FALSE
 Sunny Black Bar,Lebanese,cheap,Flatiron,08:00 - 18:00,3.1,TRUE
 Silver Yellow Trattoria,Swedish,expensive,Breezy Point,08:00 - 18:00,3.1,TRUE
 Silver Shark House,Moroccan,medium,Sunnyside,08:00 - 18:00,3.2,TRUE
 Star Whale Bistro,Czech,medium,Richmond Hill,15:00 - 23:30,2.8,TRUE
 Happy Yellow Trattoria,American,expensive,Remsen Village,00:00 - 23:59,1.8,FALSE
 Silver Blue Steakhouse,Turkish,expensive,Crown Heights,11:30 - 21:30,3.8,FALSE
 Happy Green Bar,Greek,cheap,Prospect Lefferts Gardens,00:00 - 23:59,4.8,FALSE
 Papa's Red Pizzeria,Brazilian,medium,Gramercy Park,00:00 - 23:59,3.2,FALSE
 Silver Blue Cafe,Korean BBQ,cheap,Lower East Side,11:30 - 21:30,4.6,FALSE
 Mama's Blue Cafe,Egyptian,cheap,Boerum Hill,11:30 - 21:30,3.3,FALSE
 Sapphire Purple Bistro,Czech,expensive,Manhattan Beach,00:00 - 23:59,3.4,FALSE
 Happy Fox Place,Swedish,cheap,Kensington,08:00 - 18:00,3.7,TRUE
 Mama's Bear Bar,Filipino,medium,Kips Bay,11:30 - 21:30,3.8,FALSE
 Urban Wolf Steakhouse,Moroccan,expensive,Woodside,11:30 - 21:30,3.3,TRUE
 Classic Eagle Bistro,Malaysian,cheap,Brighton Beach,15:00 - 23:30,3,TRUE
 Modern Bear Eatery,Austrian,cheap,Sunset Park,00:00 - 23:59,1.8,FALSE
 Magic Green Cafe,Greek,medium,Howard Beach,11:30 - 21:30,3.6,TRUE
 Papa's Bear Garden,Malaysian,expensive,Ridgewood,08:00 - 18:00,2.9,TRUE
 Sapphire Dolphin Brasserie,Jamaican,medium,Upper East Side,11:30 - 21:30,3.3,TRUE
 Emerald Orange Cafe,Turkish,expensive,Sunset Park,00:00 - 23:59,2.9,TRUE
 Gourmet Shark House,Spanish,medium,Lower East Side,08:00 - 18:00,3.3,TRUE
 Electric Hawk Diner,Canadian,medium,Astoria Heights,08:00 - 18:00,3,FALSE
 Chill Fox Bar,Scottish,expensive,Belle Harbor,15:00 - 23:30,3,TRUE
 Gourmet Whale Tavern,Swiss,expensive,Flatbush,00:00 - 23:59,4.9,TRUE
 Star Hawk Cafe,Thai,expensive,Nolita,11:30 - 21:30,4.1,FALSE
 Cozy Fox Cantina,Peruvian,expensive,Sheepshead Bay,08:00 - 18:00,2.2,FALSE
 Star Yellow Pizzeria,Sushi,expensive,Jackson Heights,11:30 - 21:30,1.4,TRUE
 Urban White Tavern,Portuguese,expensive,Borough Park,08:00 - 18:00,2.7,FALSE
 Vintage Red Brasserie,Malaysian,expensive,Inwood,00:00 - 23:59,2.4,TRUE
 Icy Black Lounge,Belgian,medium,Rockaway Beach,00:00 - 23:59,3.6,TRUE
 Cozy Orange Restaurant,Indonesian,expensive,Jackson Heights,15:00 - 23:30,3.8,TRUE
 Mama's Hawk Lounge,Portuguese,medium,East Harlem,08:00 - 18:00,2,FALSE
 Chill Dolphin Garden,Australian,expensive,SoHo,08:00 - 18:00,1.5,FALSE
 Golden Fox Kitchen,Chinese,medium,Harlem,08:00 - 18:00,2.3,TRUE
 Sapphire Bear Steakhouse,Egyptian,expensive,Jackson Heights,15:00 - 23:30,2.6,FALSE
 Golden Purple Brasserie,Sushi,expensive,Bushwick,15:00 - 23:30,1.2,FALSE
 Moonlight Blue Garden,Malaysian,medium,Gramercy Park,00:00 - 23:59,1,TRUE
 Royal Green Grill,Portuguese,medium,Prospect Heights,00:00 - 23:59,1,TRUE
 Star White Kitchen,Spanish,cheap,Greenwich Village,08:00 - 18:00,4.8,FALSE
 Emerald Blue House,Sushi,medium,Chinatown,08:00 - 18:00,1.7,FALSE
 Electric Lion Place,Belgian,medium,NoHo,08:00 - 18:00,1.6,FALSE
 Classic Fox Garden,Brazilian,cheap,Gerritsen Beach,11:30 - 21:30,1.4,TRUE
 Vintage White Eatery,Korean,cheap,Bed-Stuy,15:00 - 23:30,3.1,TRUE
 Modern Dolphin Kitchen,Jamaican,expensive,Flatiron,00:00 - 23:59,3.6,FALSE
 Silver Purple Bistro,Argentinian,cheap,Sea Gate,00:00 - 23:59,3.7,TRUE
 Urban Eagle Steakhouse,Hawaiian,cheap,Astoria Heights,08:00 - 18:00,3.3,TRUE
 Emerald Purple Cafe,Cuban,cheap,Prospect Lefferts Gardens,00:00 - 23:59,3,FALSE
 Mystic Black Tavern,Jamaican,cheap,Flatiron,08:00 - 18:00,3.3,TRUE
 Electric Green Pub,Chinese,cheap,Richmond Hill,15:00 - 23:30,2.7,FALSE
 Cozy Hawk Garden,Canadian,medium,Carnegie Hill,15:00 - 23:30,1.6,TRUE
 Mama's Fox Eatery,Mediterranean,cheap,Gramercy Park,00:00 - 23:59,4.7,FALSE
 Chill Shark Trattoria,Indian,cheap,Bay Ridge,08:00 - 18:00,4.6,TRUE
 Sunny Lion Lounge,Dutch,expensive,Greenpoint,11:30 - 21:30,1.8,FALSE
 Mama's Dolphin Eatery,Portuguese,cheap,East Flatbush,08:00 - 18:00,2.6,FALSE
 Mystic Hawk House,Greek,medium,Bensonhurst,11:30 - 21:30,3.2,TRUE
 Fiery Red Diner,Greek,cheap,Upper East Side,08:00 - 18:00,3.5,TRUE
 Moonlight Tiger Trattoria,Filipino,expensive,Long Island City,08:00 - 18:00,4.9,TRUE
 Royal Green Trattoria,Thai,expensive,Bensonhurst,11:30 - 21:30,1.7,FALSE
 Electric Green Trattoria,Belgian,cheap,Marine Park,00:00 - 23:59,3.5,FALSE
 Icy Dolphin House,Chinese,expensive,Midtown,08:00 - 18:00,1.9,TRUE
 Modern Wolf Pub,Mexican,cheap,Ditmas Park,00:00 - 23:59,1.1,FALSE
 Icy Eagle Brasserie,Japanese,expensive,Park Slope,08:00 - 18:00,4.7,TRUE
 Modern Tiger Bistro,Sushi,cheap,DUMBO,08:00 - 18:00,1.9,TRUE
 Cozy Orange Cantina,Canadian,cheap,Gravesend,15:00 - 23:30,1.2,FALSE
 Happy Fox Lounge,Mediterranean,medium,Woodside,15:00 - 23:30,3.2,FALSE
 Star Wolf Trattoria,Israeli,cheap,Rockaway Beach,08:00 - 18:00,1,TRUE
 Papa's Fox Bistro,Korean BBQ,medium,Chelsea,08:00 - 18:00,2.8,TRUE
 Sunny Tiger Bar,Malaysian,cheap,Flatbush,15:00 - 23:30,3,TRUE
 Golden Wolf Brasserie,Filipino,expensive,Carnegie Hill,00:00 - 23:59,1,FALSE
 Fiery Hawk Trattoria,Tibetan,expensive,Financial District,15:00 - 23:30,1.3,TRUE
 Royal Orange Steakhouse,Swiss,medium,East Harlem,11:30 - 21:30,3.6,FALSE
 Urban Red Pub,Finnish,medium,Bay Ridge,08:00 - 18:00,4.3,TRUE
 Icy Dolphin Grill,Polish,medium,Sunnyside,15:00 - 23:30,4.1,TRUE
 Fiery Yellow Inn,Chinese,expensive,Canarsie,11:30 - 21:30,1.5,TRUE
 Urban Bear Bistro,Spanish,medium,Little Italy,15:00 - 23:30,4.5,TRUE
 Sapphire Purple Cafe,Israeli,cheap,Remsen Village,11:30 - 21:30,4.1,TRUE
 Electric Orange House,Finnish,cheap,Gowanus,08:00 - 18:00,3,TRUE
 Classic Whale Lounge,Mexican,cheap,Bed-Stuy,15:00 - 23:30,3.2,TRUE
 Classic Tiger Tavern,Korean,medium,Bay Ridge,00:00 - 23:59,4.4,TRUE
 Rustic Hawk Trattoria,Malaysian,medium,Mill Basin,08:00 - 18:00,1.4,FALSE
 Fiery Shark Eatery,Austrian,cheap,Rego Park,08:00 - 18:00,3.1,TRUE
 Sunny Green Kitchen,Finnish,expensive,Prospect Lefferts Gardens,15:00 - 23:30,3.1,TRUE
 Silver Bear Kitchen,Swiss,cheap,Belle Harbor,00:00 - 23:59,4.3,TRUE
 Emerald Red Eatery,Indonesian,cheap,Remsen Village,15:00 - 23:30,3.3,TRUE
 Classic Blue Trattoria,Mexican,cheap,Midwood,15:00 - 23:30,1.5,TRUE
 Gourmet Tiger Bistro,Austrian,expensive,NoHo,15:00 - 23:30,3.7,TRUE
 Papa's Yellow Steakhouse,Sushi,expensive,Ozone Park,15:00 - 23:30,1.1,FALSE
 Electric Red Kitchen,Thai,expensive,Wingate,08:00 - 18:00,4.6,FALSE
 Classic White Cantina,Egyptian,expensive,Inwood,15:00 - 23:30,4,TRUE
 Mama's Fox Bistro,Canadian,medium,Brighton Beach,00:00 - 23:59,2.2,FALSE
 Gourmet Eagle Cafe,Danish,medium,Hell's Kitchen,15:00 - 23:30,3.8,TRUE
 Ruby Tiger Garden,French,medium,Bensonhurst,11:30 - 21:30,2.4,TRUE
 Sunny Shark House,Dutch,medium,Sunset Park,08:00 - 18:00,2.8,TRUE
 Sunny Wolf Kitchen,Sushi,cheap,Flatlands,08:00 - 18:00,2.3,TRUE
 Rustic Hawk Eatery,Indian,medium,Kips Bay,00:00 - 23:59,4.2,FALSE
 Golden Orange Bar,Polish,cheap,NoHo,08:00 - 18:00,4.6,FALSE
 Chill White Grill,Mexican,cheap,Mill Basin,08:00 - 18:00,1.5,FALSE
 Happy Yellow Cafe,Argentinian,cheap,Red Hook,15:00 - 23:30,4.1,FALSE
 Royal Dolphin Steakhouse,Jamaican,cheap,Prospect Lefferts Gardens,15:00 - 23:30,2,FALSE
 Sunny Whale Bar,Mexican,cheap,Red Hook,15:00 - 23:30,2.7,TRUE
 Mystic White Pub,Egyptian,medium,Jamaica,11:30 - 21:30,3.2,FALSE
 Star Dolphin Brasserie,Swedish,cheap,Lower East Side,00:00 - 23:59,3.2,FALSE
 Sunny Orange Cafe,Greek,cheap,Kensington,00:00 - 23:59,3.9,FALSE
 Sunny Tiger Kitchen,Australian,cheap,Midwood,11:30 - 21:30,2.5,FALSE
 Star Blue Bar,Norwegian,medium,Fort Greene,11:30 - 21:30,2.4,FALSE
 Ruby Whale Eatery,Polish,cheap,Bergen Beach,00:00 - 23:59,4.1,TRUE
