name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
 Modern Eagle Brasserie,German,cheap,Bay Ridge,08:00 - 18:00,2.7,FALSE
 Papa's Shark Cantina,Jamaican,expensive,Red Hook,00:00 - 23:59,3,TRUE
 Happy Eagle Steakhouse,Israeli,medium,Gravesend,08:00 - 18:00,4.7,TRUE
 Modern Red Diner,Japanese,cheap,Brighton Beach,11:30 - 21:30,3.2,FALSE
 Modern Lion House,Indonesian,cheap,Flatiron,00:00 - 23:59,2.5,TRUE
 Magic Purple Kitchen,Vietnamese,expensive,Belle Harbor,00:00 - 23:59,1.5,TRUE
 Rustic Purple Place,Ethiopian,expensive,Battery Park City,15:00 - 23:30,4.7,TRUE
 Magic Purple Place,Korean,cheap,Financial District,15:00 - 23:30,1.8,TRUE
 Chill Wolf Cantina,Irish,medium,Fort Greene,15:00 - 23:30,4.6,TRUE
 Cozy Whale Garden,Portuguese,cheap,Nolita,15:00 - 23:30,4.4,TRUE
 Emerald Dolphin Cantina,Spanish,expensive,Bed-Stuy,11:30 - 21:30,2.3,TRUE
 Gourmet Purple Cafe,Sushi,cheap,Sunnyside,15:00 - 23:30,1.8,TRUE
 Golden Green Restaurant,Korean BBQ,medium,Bay Ridge,15:00 - 23:30,2.7,FALSE
 Classic Hawk Cafe,Mediterranean,medium,Flatiron,00:00 - 23:59,1.8,TRUE
 Sapphire Eagle Restaurant,Austrian,medium,Brownsville,15:00 - 23:30,1.9,TRUE
 Modern Black Cantina,Tibetan,medium,Inwood,15:00 - 23:30,3,TRUE
 Emerald Black Restaurant,Danish,medium,Battery Park City,15:00 - 23:30,3.7,TRUE
 Rustic Wolf Kitchen,Indian,cheap,Prospect Heights,00:00 - 23:59,3.9,FALSE
 Emerald Black Pub,Argentinian,expensive,Williamsburg,15:00 - 23:30,3,FALSE
 Emerald Whale Cafe,Japanese,expensive,Kips Bay,11:30 - 21:30,3.3,TRUE
 Cozy Black Bistro,Dutch,expensive,Brighton Beach,15:00 - 23:30,2.8,TRUE
 Urban Black Steakhouse,Korean,expensive,Forest Hills,08:00 - 18:00,2.3,FALSE
 Chill Tiger Eatery,Hawaiian,expensive,Far Rockaway,00:00 - 23:59,2,FALSE
 Gourmet Yellow Inn,Portuguese,cheap,Sunset Park,08:00 - 18:00,4.9,FALSE
 Star Tiger Cantina,Turkish,medium,Upper East Side,11:30 - 21:30,1.3,TRUE
 Happy Dolphin Diner,Austrian,expensive,Canarsie,11:30 - 21:30,3.7,TRUE
 Gourmet Lion Diner,Argentinian,medium,Chelsea,11:30 - 21:30,3.4,TRUE
 Emerald Hawk Pub,Mediterranean,cheap,Hell's Kitchen,00:00 - 23:59,1.9,FALSE
 Rustic Fox Kitchen,Indian,cheap,Cobble Hill,08:00 - 18:00,4.1,FALSE
 Urban Green Cantina,Scottish,medium,Jackson Heights,00:00 - 23:59,2.1,TRUE
 Golden Fox Garden,Portuguese,cheap,Sheepshead Bay,15:00 - 23:30,4.8,FALSE
 Sapphire Wolf Brasserie,Sushi,cheap,Howard Beach,11:30 - 21:30,3.7,TRUE
 Mama's Wolf Lounge,South African,medium,Sunset Park,00:00 - 23:59,4.8,TRUE
 Rustic Dolphin House,Turkish,medium,East Harlem,11:30 - 21:30,4.3,FALSE
 Emerald Red Garden,Moroccan,medium,Carnegie Hill,08:00 - 18:00,3.7,TRUE
 Gourmet Purple Trattoria,Swedish,expensive,Elmhurst,15:00 - 23:30,5,FALSE
 Icy Whale Inn,Hungarian,cheap,East New York,00:00 - 23:59,2.9,FALSE
 Star Hawk Diner,Swedish,medium,Bay Ridge,08:00 - 18:00,1.6,TRUE
 Mama's Hawk Cantina,Ethiopian,cheap,Bayside,15:00 - 23:30,4.6,FALSE
 Sunny Bear Tavern,Tibetan,expensive,Williamsburg,00:00 - 23:59,2.7,TRUE
 Fiery Orange Diner,Norwegian,medium,Nolita,11:30 - 21:30,4.5,FALSE
 Emerald Tiger Eatery,Swiss,cheap,DUMBO,00:00 - 23:59,2,TRUE
 Rustic Dolphin Garden,Hawaiian,cheap,East New York,11:30 - 21:30,3.9,FALSE
 Icy Eagle Cantina,Korean BBQ,expensive,Ozone Park,15:00 - 23:30,3.8,FALSE
 Vintage Wolf Place,Thai,cheap,Jackson Heights,08:00 - 18:00,4,TRUE
 Cozy White Place,Indonesian,medium,Upper East Side,15:00 - 23:30,4.9,TRUE
 Moonlight Green Bar,Argentinian,cheap,Crown Heights,08:00 - 18:00,4.4,FALSE
 Icy Bear Grill,Peruvian,cheap,Marine Park,15:00 - 23:30,2,TRUE
 Cozy Tiger Bistro,Argentinian,expensive,SoHo,00:00 - 23:59,4.8,TRUE
 Royal Blue Place,Greek,medium,Remsen Village,08:00 - 18:00,1.3,TRUE
 Classic Black Lounge,Lebanese,cheap,Cypress Hills,15:00 - 23:30,3.8,TRUE
 Happy Red Tavern,Mexican,expensive,Williamsburg,15:00 - 23:30,4.3,TRUE
 Magic Tiger Bar,Sushi,expensive,Rego Park,15:00 - 23:30,4.6,TRUE
 Emerald Wolf House,Indian,medium,Manhattan Beach,00:00 - 23:59,1.4,FALSE
 Sunny Shark Bar,Irish,cheap,Bensonhurst,15:00 - 23:30,3.9,TRUE
 Golden Shark Trattoria,Austrian,expensive,Far Rockaway,15:00 - 23:30,1.6,TRUE
 Sunny Orange Garden,Polish,cheap,Sunnyside,08:00 - 18:00,3.6,TRUE
 Icy Orange Tavern,Australian,medium,Mill Basin,08:00 - 18:00,2.7,TRUE
 Moonlight Green Tavern,Israeli,expensive,Gowanus,00:00 - 23:59,4.5,FALSE
 Moonlight Green Restaurant,Peruvian,expensive,Bushwick,11:30 - 21:30,4.6,TRUE
 Emerald Dolphin Cafe,Belgian,expensive,Williamsburg,11:30 - 21:30,2.9,TRUE
 Cozy Hawk House,Danish,cheap,Chelsea,08:00 - 18:00,3.5,TRUE
 Gourmet Green Steakhouse,Tibetan,medium,Park Slope,08:00 - 18:00,3.3,TRUE
 Royal Wolf House,Canadian,expensive,Ozone Park,11:30 - 21:30,2.3,FALSE
 Magic Blue Cafe,Malaysian,expensive,Bayside,11:30 - 21:30,3.6,TRUE
 Mystic Green Tavern,Dutch,cheap,Fort Greene,00:00 - 23:59,4.5,FALSE
 Rustic Tiger Cantina,Czech,expensive,Crown Heights,08:00 - 18:00,4.3,FALSE
 Mama's Black Restaurant,Sushi,cheap,Gramercy Park,11:30 - 21:30,3.3,TRUE
 Icy Red Steakhouse,Dutch,expensive,Kensington,11:30 - 21:30,2.2,FALSE
 Cozy White Restaurant,Turkish,expensive,Sunset Park,11:30 - 21:30,4.8,TRUE
 Silver Dolphin Inn,Argentinian,medium,Midwood,00:00 - 23:59,3.7,FALSE
 Classic Orange Eatery,Vietnamese,expensive,Murray Hill,00:00 - 23:59,1.9,TRUE
 Moonlight Lion Bistro,Cuban,medium,Sunset Park,08:00 - 18:00,2.8,FALSE
 Electric Purple Pizzeria,Polish,expensive,Coney Island,08:00 - 18:00,1.7,FALSE
 Chill Red Trattoria,Finnish,expensive,Red Hook,00:00 - 23:59,4.4,FALSE
 Gourmet Lion Garden,Tibetan,cheap,Flatbush,11:30 - 21:30,3.5,TRUE
 Mystic Hawk Kitchen,Danish,expensive,Bushwick,08:00 - 18:00,1.9,FALSE
 Emerald Shark Diner,Irish,expensive,Gowanus,08:00 - 18:00,2.3,TRUE
 Star Lion Bar,Indonesian,expensive,Sunset Park,11:30 - 21:30,2.2,FALSE
 Magic Dolphin Brasserie,Finnish,cheap,Flatiron,08:00 - 18:00,2.1,TRUE
 Star Yellow Tavern,Vietnamese,expensive,Elmhurst,15:00 - 23:30,1.6,FALSE
 Gourmet Lion Pizzeria,Portuguese,expensive,Flatiron,00:00 - 23:59,4.7,FALSE
 Vintage Whale Pizzeria,Irish,medium,Bensonhurst,11:30 - 21:30,4.9,TRUE
 Star Lion Kitchen,Belgian,medium,Gravesend,11:30 - 21:30,4.2,TRUE
 Golden Dolphin Tavern,Jamaican,medium,Inwood,11:30 - 21:30,4.3,TRUE
 Emerald Dolphin Bar,Norwegian,expensive,Ridgewood,08:00 - 18:00,3.2,TRUE
 Modern Dolphin Brasserie,Jamaican,cheap,Red Hook,11:30 - 21:30,4.4,TRUE
 Rustic Orange Lounge,Brazilian,expensive,Greenpoint,11:30 - 21:30,1.8,TRUE
 Sapphire Shark House,Ethiopian,medium,Bensonhurst,15:00 - 23:30,4.7,TRUE
 Modern Black Pizzeria,Indian,expensive,Inwood,11:30 - 21:30,1.5,FALSE
 Sunny Orange Diner,Mexican,cheap,Sheepshead Bay,08:00 - 18:00,2.3,TRUE
 Rustic Green Diner,South African,expensive,Jamaica,11:30 - 21:30,5,TRUE
 Golden Whale Cafe,Brazilian,expensive,East Village,00:00 - 23:59,4.5,FALSE
 Sapphire Bear Pub,Spanish,medium,Flatlands,08:00 - 18:00,1.8,TRUE
 Moonlight Hawk Brasserie,Czech,cheap,Red Hook,11:30 - 21:30,1,TRUE
 Sunny White Bistro,Chinese,medium,Windsor Terrace,08:00 - 18:00,2,FALSE
 Golden Eagle House,Cuban,expensive,Midwood,08:00 - 18:00,4.4,TRUE
 Moonlight Blue Cafe,Japanese,medium,Flushing,11:30 - 21:30,4.5,TRUE
 Ruby Wolf Cafe,Jamaican,cheap,Stuyvesant Town,15:00 - 23:30,1.6,TRUE
 Urban Orange Restaurant,Korean,expensive,Sunset Park,08:00 - 18:00,4.8,FALSE
 Electric Eagle Steakhouse,Thai,medium,Marine Park,11:30 - 21:30,3.8,FALSE
 Star Tiger Tavern,Swiss,cheap,Sheepshead Bay,15:00 - 23:30,3.8,FALSE
 Gourmet Red Kitchen,Jamaican,medium,Marine Park,11:30 - 21:30,2.4,FALSE
 Icy Bear Lounge,Mediterranean,cheap,Jamaica,11:30 - 21:30,2.5,FALSE
 Magic Black Cafe,Scottish,cheap,Astoria,11:30 - 21:30,2.9,FALSE
 Papa's Shark Pizzeria,Russian,expensive,Howard Beach,08:00 - 18:00,4.4,FALSE
 Sunny Purple Grill,Belgian,cheap,Manhattan Beach,08:00 - 18:00,1.9,FALSE
 Magic Black Eatery,Czech,medium,Nolita,11:30 - 21:30,2.7,TRUE
 Gourmet Tiger Inn,Cuban,expensive,Kips Bay,00:00 - 23:59,1,TRUE
 Star Whale Inn,Czech,expensive,Coney Island,11:30 - 21:30,4.3,FALSE
 Rustic Fox Place,Norwegian,cheap,Midtown,15:00 - 23:30,3.4,FALSE
 Emerald Fox Bar,Malaysian,medium,Brownsville,11:30 - 21:30,2.1,FALSE
 Chill Shark Tavern,Korean BBQ,expensive,Manhattan Beach,11:30 - 21:30,1.3,FALSE
 Gourmet Orange Inn,Hungarian,cheap,Ridgewood,08:00 - 18:00,4.9,FALSE
 Royal Fox Trattoria,Cuban,cheap,Bensonhurst,15:00 - 23:30,1.7,FALSE
 Emerald Wolf Inn,Indian,cheap,Chinatown,00:00 - 23:59,1.9,TRUE
 Star Yellow Kitchen,Russian,medium,Williamsburg,15:00 - 23:30,2.2,FALSE
 Sunny Bear Cantina,Mediterranean,expensive,Astoria Heights,00:00 - 23:59,3,TRUE
 Fiery Eagle Garden,South African,medium,Whitestone,00:00 - 23:59,1.5,TRUE
 Urban Orange Kitchen,Filipino,medium,Breezy Point,15:00 - 23:30,2,FALSE
 Silver Purple Brasserie,Norwegian,cheap,Midwood,00:00 - 23:59,1.5,FALSE
 Magic Purple Steakhouse,Portuguese,cheap,Elmhurst,15:00 - 23:30,3.2,TRUE
 Rustic Red Kitchen,Korean BBQ,expensive,Coney Island,11:30 - 21:30,2.5,FALSE
 Royal Eagle Pizzeria,Australian,cheap,Tribeca,00:00 - 23:59,4.9,TRUE
 Ruby Lion Place,Polish,expensive,Hell's Kitchen,08:00 - 18:00,2.3,TRUE
 Urban Dolphin Diner,Sushi,medium,Flatbush,11:30 - 21:30,4.5,TRUE
 Golden Orange Bistro,South African,cheap,Boerum Hill,08:00 - 18:00,1.9,TRUE
 Cozy Wolf Bistro,Sushi,expensive,Astoria,08:00 - 18:00,3.4,TRUE
 Golden Shark Grill,Hungarian,expensive,Jackson Heights,08:00 - 18:00,1.8,FALSE
 Mystic Orange Trattoria,Filipino,cheap,Prospect Heights,00:00 - 23:59,4.4,FALSE
 Magic Yellow Eatery,Irish,expensive,Far Rockaway,11:30 - 21:30,3.8,TRUE
 Cozy Purple Inn,Belgian,cheap,Carnegie Hill,11:30 - 21:30,1.6,FALSE
 Sunny Whale Steakhouse,Brazilian,cheap,Lower East Side,15:00 - 23:30,3.3,FALSE
 Star Red Garden,Finnish,medium,Bergen Beach,15:00 - 23:30,4.7,TRUE
 Magic Yellow Restaurant,Vietnamese,medium,Bay Ridge,00:00 - 23:59,4.7,FALSE
 Mystic Black Restaurant,Turkish,medium,Astoria,08:00 - 18:00,4.8,FALSE
 Classic Purple Bistro,Sushi,medium,Chinatown,00:00 - 23:59,2.4,FALSE
 Papa's Fox Kitchen,Vietnamese,cheap,Dyker Heights,00:00 - 23:59,3.7,TRUE
 Star Purple Grill,Irish,medium,Dyker Heights,15:00 - 23:30,2.8,TRUE
 Vintage Whale Bar,Ethiopian,cheap,Brownsville,08:00 - 18:00,4.4,FALSE
 Chill Green Lounge,Spanish,medium,Lower East Side,15:00 - 23:30,2.4,FALSE
 Ruby Hawk Trattoria,Danish,cheap,Mill Basin,08:00 - 18:00,3.3,TRUE
 Happy Orange Bar,French,cheap,Morningside Heights,15:00 - 23:30,2,FALSE
 Urban Eagle Cantina,Lebanese,expensive,Coney Island,00:00 - 23:59,2.1,TRUE
 Icy White Trattoria,Hungarian,expensive,SoHo,15:00 - 23:30,2.4,FALSE
 Silver Orange Eatery,Brazilian,cheap,Forest Hills,00:00 - 23:59,3.9,TRUE
 Happy Green Trattoria,Finnish,medium,Bay Ridge,15:00 - 23:30,2.8,TRUE
 Rustic Dolphin Cafe,Vietnamese,medium,Crown Heights,11:30 - 21:30,2,TRUE
 Icy White Restaurant,Dutch,expensive,Breezy Point,08:00 - 18:00,4.5,FALSE
 Moonlight Eagle Bistro,Mexican,medium,Bayside,08:00 - 18:00,1.1,TRUE
 Electric Hawk Restaurant,Thai,medium,Long Island City,15:00 - 23:30,3.7,FALSE
 Royal Shark Bistro,Canadian,medium,Bergen Beach,08:00 - 18:00,3.6,TRUE
 Golden White Kitchen,Portuguese,medium,Crown Heights,00:00 - 23:59,2.9,FALSE
 Vintage Bear Restaurant,Spanish,expensive,Prospect Lefferts Gardens,00:00 - 23:59,1.5,FALSE
 Moonlight Bear Place,Hungarian,medium,Rego Park,15:00 - 23:30,2.5,FALSE
 Modern Tiger Cafe,Dutch,medium,Bayside,11:30 - 21:30,2.6,FALSE
 Gourmet White House,Jamaican,cheap,Midtown,11:30 - 21:30,3.9,FALSE
 Chill Fox Tavern,French,cheap,Prospect Lefferts Gardens,15:00 - 23:30,3.8,FALSE
 Royal White Bar,Scottish,medium,East New York,08:00 - 18:00,1.9,TRUE
 Electric Green Lounge,Russian,cheap,Rugby,00:00 - 23:59,1.3,FALSE
 Mama's Eagle Cantina,Scottish,expensive,Mill Basin,08:00 - 18:00,3.6,FALSE
 Fiery Bear Brasserie,Swedish,medium,Richmond Hill,00:00 - 23:59,1.2,FALSE
 Rustic Eagle Bistro,Canadian,expensive,Crown Heights,00:00 - 23:59,1.4,FALSE
 Electric Tiger Steakhouse,Indonesian,cheap,Greenwich Village,08:00 - 18:00,3.8,TRUE
 Electric Shark House,Korean BBQ,cheap,Hell's Kitchen,11:30 - 21:30,4.9,FALSE
 Fiery Dolphin Garden,Hungarian,cheap,Murray Hill,08:00 - 18:00,2.4,TRUE
 Gourmet White Bistro,Irish,cheap,Gramercy Park,11:30 - 21:30,4,FALSE
 Sapphire Eagle House,Tibetan,expensive,Fort Greene,15:00 - 23:30,2.4,FALSE
 Royal Eagle Bistro,Brazilian,expensive,Financial District,15:00 - 23:30,4,FALSE
 Ruby Hawk Lounge,Indonesian,cheap,Lower East Side,00:00 - 23:59,1.4,FALSE
 Papa's Tiger Eatery,Czech,expensive,Gramercy Park,15:00 - 23:30,3.3,TRUE
 Sapphire Dolphin Grill,Mexican,medium,Wingate,15:00 - 23:30,1.9,FALSE
 Emerald Black Cantina,Vietnamese,medium,Rego Park,11:30 - 21:30,3.7,FALSE
 Papa's Hawk Grill,Turkish,cheap,Upper East Side,00:00 - 23:59,3.8,FALSE
 Rustic Purple Cantina,Thai,expensive,Flatbush,00:00 - 23:59,3.7,TRUE
 Golden Lion Pub,Brazilian,cheap,Flushing,15:00 - 23:30,2.9,FALSE
 Happy Blue Pub,Swedish,cheap,Long Island City,15:00 - 23:30,4.8,FALSE
 Sapphire Black Eatery,Filipino,medium,Dyker Heights,00:00 - 23:59,1.3,FALSE
 Ruby Shark Diner,Spanish,expensive,Crown Heights,08:00 - 18:00,3.4,TRUE
 Star Bear House,Lebanese,expensive,Stuyvesant Town,11:30 - 21:30,2.2,FALSE
 Modern Blue Grill,Swedish,cheap,Ridgewood,11:30 - 21:30,2.1,FALSE
 Gourmet Orange Lounge,Czech,expensive,Inwood,08:00 - 18:00,1.6,TRUE
 Modern Whale Place,Jamaican,expensive,Gerritsen Beach,15:00 - 23:30,3.6,FALSE
 Emerald Purple Steakhouse,Italian,cheap,Forest Hills,00:00 - 23:59,3.3,FALSE
 Golden Whale Restaurant,Lebanese,expensive,Bayside,08:00 - 18:00,5,TRUE
 Rustic Eagle Inn,Austrian,expensive,Mill Basin,08:00 - 18:00,1.9,FALSE
 Cozy Shark Place,German,cheap,Jamaica,08:00 - 18:00,2.5,FALSE
 Urban Tiger Pizzeria,Argentinian,medium,Canarsie,11:30 - 21:30,5,TRUE
 Cozy Lion Inn,Hawaiian,expensive,Gravesend,15:00 - 23:30,3.4,FALSE
 Vintage Eagle Lounge,Argentinian,expensive,Elmhurst,11:30 - 21:30,3.4,TRUE
 Icy Whale House,Ethiopian,cheap,Manhattan Beach,00:00 - 23:59,4.6,TRUE
 Electric Black Tavern,Czech,cheap,Belle Harbor,11:30 - 21:30,4.9,TRUE
 Urban Green Diner,French,medium,Murray Hill,15:00 - 23:30,1.3,TRUE
 Magic Wolf Place,Argentinian,medium,Brighton Beach,08:00 - 18:00,2.2,TRUE
 Modern Dolphin Steakhouse,Dutch,medium,DUMBO,15:00 - 23:30,4.3,FALSE
 Magic Lion Inn,South African,expensive,Coney Island,15:00 - 23:30,4,FALSE
 Papa's White Pizzeria,Turkish,medium,Howard Beach,08:00 - 18:00,1.9,FALSE
 Silver Wolf Inn,Argentinian,medium,Flatiron,11:30 - 21:30,2.8,FALSE
 Urban Green Brasserie,Sushi,medium,Ditmas Park,15:00 - 23:30,3.3,FALSE
 Moonlight Black Diner,Japanese,expensive,Cypress Hills,00:00 - 23:59,1.2,TRUE
 Modern Eagle Cantina,Portuguese,expensive,East Village,00:00 - 23:59,2.6,TRUE
 Sapphire Bear Tavern,Swedish,expensive,Flushing,00:00 - 23:59,4,TRUE
 Modern Purple Bistro,Portuguese,expensive,Hell's Kitchen,11:30 - 21:30,3.6,TRUE
 Modern Bear Inn,Polish,cheap,Brighton Beach,15:00 - 23:30,1,TRUE
 Icy Purple Bistro,Czech,medium,Kensington,08:00 - 18:00,1.6,TRUE
 Modern Bear Grill,Mediterranean,cheap,Woodside,08:00 - 18:00,3.3,TRUE
 Rustic Orange Pizzeria,Czech,expensive,Flatbush,11:30 - 21:30,4.1,FALSE
 Sunny Purple Lounge,Korean,expensive,Battery Park City,11:30 - 21:30,4.1,FALSE
 Emerald Purple House,Moroccan,expensive,DUMBO,00:00 - 23:59,3.1,FALSE
 Rustic Eagle Pizzeria,Dutch,expensive,Wingate,08:00 - 18:00,1.3,FALSE
 Sapphire Wolf Bar,Norwegian,expensive,Far Rockaway,00:00 - 23:59,2.7,TRUE
 Mama's Fox Brasserie,Jamaican,cheap,Bergen Beach,08:00 - 18:00,1.2,TRUE
 Mystic Hawk Lounge,Indian,medium,Tribeca,00:00 - 23:59,4.5,FALSE
 Star Yellow Cantina,Finnish,medium,Greenpoint,15:00 - 23:30,1.7,FALSE
 Ruby Orange Eatery,Swedish,medium,Far Rockaway,11:30 - 21:30,4.3,FALSE
 Sapphire Lion Brasserie,Indonesian,expensive,Wingate,00:00 - 23:59,2.6,TRUE
 Modern Red Eatery,Hungarian,medium,Red Hook,15:00 - 23:30,3.3,TRUE
 Happy Green Grill,Israeli,expensive,Fort Greene,15:00 - 23:30,2.6,TRUE
 Urban Hawk Lounge,Japanese,expensive,Midwood,00:00 - 23:59,4.9,FALSE
 Mama's Yellow Inn,Polish,medium,Upper East Side,00:00 - 23:59,1.5,FALSE
 Ruby Red Kitchen,Sushi,medium,Sunset Park,00:00 - 23:59,1.5,TRUE
 Electric Lion Trattoria,Russian,expensive,Forest Hills,15:00 - 23:30,3.4,TRUE
 Emerald Blue Eatery,Filipino,cheap,Tribeca,11:30 - 21:30,1.4,FALSE
 Magic Purple Garden,Dutch,expensive,Flatiron,08:00 - 18:00,2,TRUE
 Cozy Wolf Lounge,Thai,medium,Hell's Kitchen,15:00 - 23:30,1.2,TRUE
 Star Orange Kitchen,Norwegian,expensive,Sunset Park,11:30 - 21:30,2.7,TRUE
 Gourmet Wolf Tavern,Brazilian,cheap,East Harlem,11:30 - 21:30,2.1,TRUE
 Magic Lion Lounge,Hawaiian,cheap,Flatiron,11:30 - 21:30,4,TRUE
 Rustic Orange Bistro,Hawaiian,cheap,Upper East Side,11:30 - 21:30,1.8,FALSE
 Emerald Black Trattoria,Czech,expensive,Greenpoint,08:00 - 18:00,3.2,FALSE
 Classic Shark Lounge,Korean,expensive,Rugby,08:00 - 18:00,3.5,FALSE
 Classic Wolf Bistro,Korean,medium,Bushwick,15:00 - 23:30,4.9,TRUE
 Golden Orange Diner,Malaysian,medium,Carnegie Hill,00:00 - 23:59,4.1,TRUE
 Mama's Blue Restaurant,South African,medium,Upper East Side,15:00 - 23:30,1.1,FALSE
 Gourmet Bear Tavern,Mediterranean,expensive,Rockaway Beach,08:00 - 18:00,3.3,TRUE
 Golden Green Trattoria,Sushi,expensive,Bayside,15:00 - 23:30,4.9,TRUE
 Icy Yellow Restaurant,Indonesian,cheap,Murray Hill,08:00 - 18:00,3.5,TRUE
 Rustic Red Place,Irish,medium,Mill Basin,08:00 - 18:00,1,FALSE
 Icy Yellow Diner,Argentinian,cheap,Financial District,11:30 - 21:30,4.2,FALSE
 Papa's Orange Kitchen,Swedish,medium,Gerritsen Beach,08:00 - 18:00,1.8,TRUE
 Vintage Orange Place,Danish,cheap,Wingate,00:00 - 23:59,1.2,FALSE
 Urban Dolphin Bistro,Tibetan,expensive,Rockaway Beach,11:30 - 21:30,2.3,TRUE
 Cozy Dolphin Bistro,Canadian,cheap,Rugby,15:00 - 23:30,2,TRUE
 Mystic Purple House,Lebanese,cheap,Flatiron,08:00 - 18:00,3,TRUE
 Urban Wolf Cantina,Swedish,cheap,Bay Ridge,15:00 - 23:30,4.8,TRUE
 Golden Red Restaurant,Peruvian,cheap,Sunset Park,08:00 - 18:00,2.7,TRUE
 Sapphire Shark Eatery,Portuguese,expensive,Coney Island,08:00 - 18:00,1.2,FALSE
 Silver Whale Eatery,Greek,cheap,Forest Hills,15:00 - 23:30,4.9,TRUE
 Papa's Wolf Brasserie,Jamaican,cheap,Coney Island,11:30 - 21:30,4.4,FALSE
 Fiery Whale Cafe,Czech,cheap,Coney Island,15:00 - 23:30,2.2,FALSE
